"","utterance","condition","Mean","model","language"
"1","color","color sufficient",0.983122362869198,"empirical","english"
"2","color","size sufficient",0.0287648054145516,"empirical","english"
"3","size","color sufficient",0.00210970464135021,"empirical","english"
"4","size","size sufficient",0.465313028764805,"empirical","english"
"5","size_color","color sufficient",0.0147679324894515,"empirical","english"
"6","size_color","size sufficient",0.505922165820643,"empirical","english"
"7","size_color","color sufficient",0.0173672214184832,"vanilla","english"
"8","size_color","size sufficient",0.114633655939631,"vanilla","english"
"9","color","color sufficient",0.980540046046785,"vanilla","english"
"10","color","size sufficient",0.769161988900643,"vanilla","english"
"11","size","color sufficient",0.00209204155265384,"vanilla","english"
"12","size","size sufficient",0.116193392511763,"vanilla","english"
"13","size_color","color sufficient",0.0348069770370619,"continuous","english"
"14","size_color","size sufficient",0.573199697935573,"continuous","english"
"15","color","color sufficient",0.965084107799464,"continuous","english"
"16","color","size sufficient",0.0460086793926393,"continuous","english"
"17","size","color sufficient",0.00010891516300144,"continuous","english"
"18","size","size sufficient",0.380791621154985,"continuous","english"
"19","size_color","color sufficient",0.0167323110748378,"incremental","english"
"20","size_color","size sufficient",0.48504467307468,"incremental","english"
"21","color","color sufficient",0.982885505071403,"incremental","english"
"22","color","size sufficient",0.0288161881314211,"incremental","english"
"23","size","color sufficient",0.000382183853758919,"incremental","english"
"24","size","size sufficient",0.486139138793899,"incremental","english"
"25","size_color","color sufficient",0.0104889006355222,"incrementalContinuous","english"
"26","size_color","size sufficient",0.528901772592331,"incrementalContinuous","english"
"27","color","color sufficient",0.989356488768106,"incrementalContinuous","english"
"28","color","size sufficient",0.0378379360253889,"incrementalContinuous","english"
"29","size","color sufficient",0.00015431322961098,"incrementalContinuous","english"
"30","size","size sufficient",0.433250014955822,"incrementalContinuous","english"
